N_splines,chart,size,pc2_var,pc3_var,convex_gap_median,convex_gap_p90,convex_gap_bad_frac,hull_area
48,25,75,0.6176040388576118,0.7964346976275117,0.99002866348471,2.1298819998917664,0.016666666666666666,0.16588125535622233
48,26,76,0.6027430231803393,0.7802078029900694,0.9146099508592661,1.8413438101598145,0.011666666666666667,0.1677789347264206
48,27,49,0.7119525685202632,0.9025558348284622,0.8006783999614704,2.1829693666452674,0.018333333333333333,0.21746609473184353
48,28,22,0.7958251412400814,0.9203517005609463,0.9536301060615222,1.9988025710117754,0.015,0.44054518490790257
48,29,53,0.5774298648469738,0.7952760264008798,0.8091009949685138,1.5056135146909153,0.0,0.18609632423441144
48,30,16,0.593997965104692,0.7773407134315948,0.5474647197430645,0.9099637563699763,0.0,0.21368983578797357
48,31,42,0.7054006397836312,0.8287437266494205,0.6517731968345324,1.1571849133219791,0.0,0.1778907181742136
48,32,40,0.6554091439552325,0.7971278445780129,1.2993062349142792,2.3473107046544417,0.01,0.13660180974193267
48,33,50,0.5638179315581818,0.7340606393191839,0.7104494728093468,1.330934200259115,0.0,0.13250596686898808
48,34,65,0.6976652691602434,0.8633451738914952,1.196684878604154,2.4549056241345033,0.03666666666666667,0.18028571935895893
48,35,55,0.6496103218314875,0.8052714574348069,0.7597367445870402,1.402470302600643,0.0,0.1994749606057137
48,36,48,0.6855627194390491,0.8223190414114457,0.8362681397803018,1.642491079592177,0.0,0.2234721834345073
48,37,38,0.6005272680812446,0.8000136518983675,1.038411772395667,2.408192700636419,0.023333333333333334,0.12045943281215031
48,38,43,0.7261493878897314,0.8684863528483924,0.8384875286375795,1.8048794771962466,0.0033333333333333335,0.18401901696049752
48,39,55,0.6165815604709572,0.7844528053977964,1.3235504726882983,4.0516302770779005,0.22333333333333333,0.13079155276791554
48,40,56,0.6536096276135825,0.8378116227554316,0.7746712167475512,1.473944064544753,0.0,0.2511331220772011
48,41,67,0.6644309736329973,0.896293200275105,0.8588073704431815,1.5893591719181837,0.0,0.1989812834509887
48,42,45,0.6225653322042484,0.7852396435980777,0.907883956445736,2.1536919623393294,0.018333333333333333,0.191851043260321
48,43,47,0.5957761812194985,0.770613291870067,0.8172008174850318,1.6455277208420176,0.0,0.1982211795665759
48,44,56,0.6119207632635579,0.7912769216298239,0.8573284427159649,1.7662980937628585,0.018333333333333333,0.25539737306022275
48,45,64,0.6669084347503755,0.8326895839222658,0.6177616265665373,1.1295855806087933,0.0,0.19381696645667312
48,46,56,0.6391156047116806,0.7900305907903908,0.7405391625474104,1.3626526799712797,0.0033333333333333335,0.28976932846701475
48,47,60,0.5962960817261655,0.7333690733269431,0.8308315802601514,1.8820072344816081,0.005,0.20809626524564168
64,0,36,0.7834209895609119,0.9053450300719851,0.9312217749113543,1.8583635306030988,0.008333333333333333,0.15210967331190667
64,1,24,0.616053724858692,0.7919914043142049,0.6256929538489322,1.0743629677286908,0.0,0.13506175834153597
64,2,46,0.6912120771582841,0.8012162850953801,0.9189999317959875,1.8174277728507433,0.0016666666666666668,0.15845810001356672
64,3,59,0.6086302637547174,0.8029547839870239,0.7745759705534789,1.483222483357238,0.0,0.11255225212147132
